question,gold_sql,pred_sql,latency_sec,string_match_percentage
How many acting statuses are there?,SELECT COUNT(DISTINCT temporary_acting) FROM management,SELECT COUNT(DISTINCT temporary_acting) AS number_of_statuses FROM management;,1.898806095123291,70.51282051282051
How many departments are led by heads who are not mentioned?,SELECT COUNT(*) FROM department WHERE NOT department_id IN (SELECT department_id FROM management),SELECT COUNT(DISTINCT d.department_id) FROM department d JOIN management m ON d.department_id = m.department_id LEFT JOIN management m2 ON m.department_id = m2.department_id WHERE m2.department_id IS NULL,4.279417991638184,39.70588235294118
What are the distinct ages of the heads who are acting?,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id = T2.head_id WHERE T2.temporary_acting = 'Yes',SELECT DISTINCT h.age FROM head h JOIN management m ON h.head_id = m.head_id WHERE m.temporary_acting IS NOT NULL;,2.6547231674194336,65.28925619834712
List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T1.name = 'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T1.name = 'Homeland Security',"SELECT DISTINCT h.born_state FROM head h JOIN management m ON h.head_id = m.head_id JOIN department d ON m.department_id = d.department_id WHERE d.name IN ('Treasury', 'Homeland Security')",4.642068147659302,39.34426229508197
"Which department has more than 1 head at a time? List the id, name and the number of heads.","SELECT T1.department_id, T1.name, COUNT(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id = T2.department_id GROUP BY T1.department_id HAVING COUNT(*) > 1","SELECT d.department_id, d.name, COUNT(m.department_id) AS num_heads FROM department d JOIN management m ON d.department_id = m.department_id GROUP BY d.department_id, d.name HAVING COUNT(m.department_id) > 1 ORDER BY num_heads DESC NULLS LAST;",5.954892158508301,52.674897119341566
Which head's name has the substring 'Ha'? List the id and name.,"SELECT head_id, name FROM head WHERE name LIKE '%Ha%'","SELECT h.head_id, h.name FROM head h WHERE h.name ilike '%Ha%';",1.6750855445861816,84.12698412698413
How many farms are there?,SELECT COUNT(*) FROM farm,SELECT COUNT(DISTINCT f.id) FROM farm f;,1.1057751178741455,60.0
List the total number of horses on farms in ascending order.,SELECT Total_Horses FROM farm ORDER BY Total_Horses,SELECT CAST(f.total_horses AS INTEGER) AS total_horses FROM farm f ORDER BY total_horses ASC;,2.540168285369873,54.83870967741935
"What are the hosts of competitions whose theme is not ""Aliens""?",SELECT Hosts FROM farm_competition WHERE Theme <> 'Aliens',SELECT fc.Hosts FROM farm_competition fc WHERE fc.Theme != 'Aliens',2.4847474098205566,83.5820895522388
What are the themes of farm competitions sorted by year in ascending order?,SELECT Theme FROM farm_competition ORDER BY YEAR,"SELECT fc.Theme, fc.YEAR FROM farm_competition fc ORDER BY fc.YEAR ASC;",2.000296115875244,67.6056338028169
What is the average number of working horses of farms with more than 5000 total number of horses?,SELECT AVG(Working_Horses) FROM farm WHERE Total_Horses > 5000,SELECT AVG(f.Working_Horses) FROM farm f WHERE f.Total_Horses > 5000;,2.2227630615234375,89.85507246376811
What are the maximum and minimum number of cows across all farms.,"SELECT MAX(Cows), MIN(Cows) FROM farm","SELECT MAX(f.cows) AS max_cows, MIN(f.cows) AS min_cows FROM farm f;",2.224022626876831,54.41176470588236
How many different statuses do cities have?,SELECT COUNT(DISTINCT Status) FROM city,SELECT COUNT(DISTINCT c.status) FROM city c;,1.147486925125122,88.63636363636364
List official names of cities in descending order of population.,SELECT Official_Name FROM city ORDER BY Population DESC,SELECT c.Official_Name FROM city c ORDER BY c.Population DESC;,1.3623523712158203,88.70967741935483
List the official name and status of the city with the largest population.,"SELECT Official_Name, Status FROM city ORDER BY Population DESC LIMIT 1","SELECT c.Official_Name, c.Status, c.Population FROM city c ORDER BY c.Population DESC NULLS LAST LIMIT 1;",2.8756191730499268,67.61904761904762
Show the years and the official names of the host cities of competitions.,"SELECT T2.Year, T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID","SELECT fc.year, c.official_name FROM farm_competition fc JOIN city c ON fc.host_city_id = c.city_id;",3.153775691986084,56.48148148148149
Show the official names of the cities that have hosted more than one competition.,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*) > 1,SELECT c.Official_Name FROM city c JOIN farm_competition f ON c.City_ID = f.Host_city_ID GROUP BY c.Official_Name HAVING COUNT(f.Host_city_ID) > 1 ORDER BY c.Official_Name NULLS LAST;,4.617247819900513,56.830601092896174
Show the status of the city that has hosted the greatest number of competitions.,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,SELECT c.status FROM city c JOIN farm_competition f ON c.city_id = f.host_city_id GROUP BY c.status ORDER BY COUNT(f.host_city_id) DESC LIMIT 1;,3.4494011402130127,71.62162162162163
Please show the themes of competitions with host cities having populations larger than 1000.,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T1.Population > 1000,SELECT fc.theme FROM farm_competition fc JOIN city c ON fc.host_city_id = c.city_id WHERE c.population > 1000;,3.768198251724243,60.16949152542372
Please show the different statuses of cities and the average population of cities with each status.,"SELECT Status, AVG(Population) FROM city GROUP BY Status","SELECT c.status, AVG(c.population) AS average_population FROM city c GROUP BY c.status ORDER BY average_population DESC NULLS LAST;",2.6576290130615234,42.74809160305344
"Please show the different statuses, ordered by the number of cities that have each.",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*),"SELECT c.status, COUNT(*) AS COUNT FROM city c GROUP BY c.status ORDER BY COUNT DESC NULLS LAST;",1.9040727615356445,56.25
List the most common type of Status across cities.,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,"SELECT c.Status, COUNT(*) AS COUNT FROM city c GROUP BY c.Status ORDER BY COUNT DESC LIMIT 1;",1.7955665588378906,68.81720430107528
List the official names of cities that have not held any competition.,SELECT Official_Name FROM city WHERE NOT City_ID IN (SELECT Host_city_ID FROM farm_competition),SELECT c.Official_Name FROM city c LEFT JOIN farm_competition f ON c.City_ID = f.Host_city_ID WHERE f.Host_city_ID IS NULL,2.9581246376037598,50.0
Show the status shared by cities with population bigger than 1500 and smaller than 500.,SELECT Status FROM city WHERE Population > 1500 INTERSECT SELECT Status FROM city WHERE Population < 500,SELECT c.status FROM city c WHERE c.population > 1500 AND c.population < 500;,2.746314287185669,57.692307692307686
Find the official names of cities with population bigger than 1500 or smaller than 500.,SELECT Official_Name FROM city WHERE Population > 1500 OR Population < 500,SELECT c.Official_Name FROM city c WHERE c.Population > '1500' OR c.Population < '500';,2.3974106311798096,85.0574712643678
"Show the census ranking of cities whose status are not ""Village"".","SELECT Census_Ranking FROM city WHERE Status <> ""Village""",SELECT c.census_ranking FROM city c WHERE c.status not ilike '%Village%';,1.7488327026367188,72.6027397260274
which course has most number of registered students?,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY COUNT(*) DESC LIMIT 1,"SELECT c.course_name, COUNT(sc.course_id) AS number_of_students FROM courses c JOIN student_course_registrations sc ON c.course_id = sc.course_id GROUP BY c.course_name ORDER BY number_of_students DESC LIMIT 1;",4.43830943107605,62.38095238095238
what is id of students who registered some courses but the least number of courses in these students?,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY COUNT(*) LIMIT 1,SELECT s.id FROM student_course_registrations s GROUP BY s.id ORDER BY COUNT(s.id) ASC LIMIT 1;,2.3271806240081787,74.22680412371135
what are the first name and last name of all candidates?,"SELECT T2.first_name, T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id","SELECT p.first_name, p.last_name FROM candidates c JOIN people p ON c.candidate_id = p.person_id;",3.0203521251678467,82.4074074074074
List the id of students who never attends courses?,SELECT student_id FROM students WHERE NOT student_id IN (SELECT student_id FROM student_course_attendance),SELECT s.student_id FROM students s LEFT JOIN student_course_attendance sca ON s.student_id = sca.student_id WHERE sca.student_id IS NULL,2.8693151473999023,54.01459854014598
List the id of students who attended some courses?,SELECT student_id FROM student_course_attendance,SELECT s.id FROM student_course_attendance s;,1.053262710571289,79.16666666666666
What are the ids of all students for courses and what are the names of those courses?,"SELECT T1.student_id, T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id","SELECT s.student_id, c.course_name FROM student_course_registrations s JOIN courses c ON s.course_id = c.course_id;",2.582017660140991,85.71428571428572
What is detail of the student who most recently registered course?,SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,"SELECT s.student_details, s.student_id, MAX(scr.registration_date) AS last_registration_date FROM student_course_registrations scr JOIN students s ON scr.student_id = s.student_id GROUP BY s.student_details, s.student_id ORDER BY last_registration_date DESC LIMIT 1;",6.155453205108643,53.383458646616546
How many students attend course English?,"SELECT COUNT(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""",SELECT COUNT(DISTINCT sa.student_id) AS number_of_students FROM student_course_attendance sa JOIN courses c ON sa.course_id = c.course_id WHERE c.course_name = 'English';,3.613924026489258,61.1764705882353
How many courses do the student whose id is 171 attend?,SELECT COUNT(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,SELECT COUNT(DISTINCT sca.course_id) AS number_of_courses FROM student_course_attendance sca WHERE sca.student_id = '171';,3.0248208045959473,46.09375
Find id of the candidate whose email is stanley.monahan@example.org?,"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""",SELECT c.candidate_id FROM candidates c JOIN people p ON c.candidate_id = p.person_id WHERE p.email_address = 'stanley.monahan@example.org';,3.434427261352539,64.23841059602648
Find id of the candidate who most recently accessed the course?,SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,"SELECT c.candidate_id, MAX(ca.assessment_date) AS last_assessment_date FROM candidate_assessments ca JOIN candidates c ON ca.candidate_id = c.candidate_id GROUP BY c.candidate_id ORDER BY last_assessment_date DESC LIMIT 1;",5.857105731964111,37.83783783783784
What is detail of the student who registered the most number of courses?,SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY COUNT(*) DESC LIMIT 1,"SELECT s.student_details, s.student_id FROM students s JOIN (SELECT scr.student_id, COUNT(*) AS num_courses FROM student_course_registrations scr GROUP BY scr.student_id ORDER BY num_courses DESC LIMIT 1) AS mc ON s.student_id = mc.student_id;",5.094371795654297,44.855967078189295
List the id of students who registered some courses and the number of their registered courses?,"SELECT T1.student_id, COUNT(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id","SELECT s.student_id, COUNT(scr.student_id) AS number_of_courses FROM students s JOIN student_course_registrations scr ON s.student_id = scr.student_id GROUP BY s.student_id ORDER BY number_of_courses DESC NULLS LAST;",5.552478551864624,55.55555555555556
How many registed students do each course have? List course name and the number of their registered students?,"SELECT T3.course_name, COUNT(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id","SELECT c.course_name, COUNT(sc.student_id) AS number_of_students FROM courses c JOIN student_course_registrations sc ON c.course_id = sc.course_id GROUP BY c.course_name ORDER BY number_of_students DESC NULLS LAST;",5.314307689666748,44.859813084112155
