question,gold_sql,pred_sql,latency_sec,string_match_percentage
How many singers do we have?,SELECT count(*) FROM singer,SELECT COUNT(DISTINCT s.id) FROM singer s;,1.1950089931488037,61.904761904761905
What are the names of the singers who performed in a concert in 2014?,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT DISTINCT s.name FROM singer s JOIN concert c ON s.id = c.singer_id WHERE EXTRACT(YEAR FROM c.date) = 2014;,3.0282061100006104,39.18128654970761
what is the name and nation of the singer who have a song having 'Hey' in its name?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT s.name, s.nation FROM singer s JOIN song sa ON s.id = sa.singer_id WHERE sa.name ilike '%Hey%' ORDER BY s.name NULLS LAST;",3.1799707412719727,37.2093023255814
What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT s.name, s.country FROM singer s JOIN song sa ON s.id = sa.singer_id WHERE sa.title ilike '%Hey%';",3.135942220687866,50.96153846153846
Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT s.name, s.location FROM stadiums s JOIN concerts c ON s.id = c.stadium_id WHERE EXTRACT(YEAR FROM c.date) IN (2014, 2015) GROUP BY s.name, s.location;",4.485708236694336,37.54789272030651
What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT s.name, s.location FROM stadiums s JOIN concerts c ON s.id = c.stadium_id WHERE EXTRACT(YEAR FROM c.date) IN (2014, 2015) GROUP BY s.name, s.location;",4.226227045059204,37.54789272030651
Find the number of concerts happened in the stadium with the highest capacity .,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) AS total_concerts FROM concerts c JOIN venues v ON c.venue_id = v.id WHERE v.capacity = (SELECT MAX(capacity) FROM venues);,3.4254674911499023,36.69064748201439
What are the number of concerts that occurred in the stadium with the largest capacity ?,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) AS total_concerts FROM concerts c JOIN venues v ON c.venue_id = v.id WHERE v.capacity = (SELECT MAX(capacity) FROM venues);,3.4701170921325684,36.69064748201439
Find the number of pets whose weight is heavier than 10.,SELECT count(*) FROM pets WHERE weight  >  10,SELECT COUNT(*) FROM pets WHERE weight > 10;,1.0514016151428223,93.33333333333333
How many pets have a greater weight than 10?,SELECT count(*) FROM pets WHERE weight  >  10,SELECT COUNT(*) FROM pets WHERE weight > 10;,1.0460824966430664,93.33333333333333
Find the weight of the youngest dog.,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT d.weight FROM dog d ORDER BY d.age ASC LIMIT 1;,1.2931544780731201,70.37037037037037
How much does the youngest dog weigh?,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT MIN(d.weight) AS youngest_dog_weight FROM dogs d;,1.4300124645233154,32.14285714285714
Find the maximum weight for each type of pet. List the maximum weight and pet type.,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT p.type, MAX(p.weight) AS max_weight FROM pet p GROUP BY p.type ORDER BY max_weight DESC NULLS LAST;",2.4126904010772705,40.56603773584906
